"Artist","Song","Популярность в США","Популярность в СНГ"
"Motionless in White","Solway Firth","2.01","0.41"
"Falling in Reverse","Why not?","4.46","0.7"
"The Killers","Stop it","5.03","0.85"
"Halfives","I can't take this anymore","3.54","0.18"
"Каста","Snow","1.11","1.26"
"Oxxymiron","Hello","1.79","0.68"
"Motionless in White","Here we go again","6.82","0.08"
"Каста","Incredible","3.81","0.73"
"Oxxymiron","Summer","2.91","0.43"
"Motionless in White","Cold Reader","1.06","2.01"
"Каста","Well","0.98","0.71"
"Oxxymiron","Группа крови","5.8","0.15"
"Nirvana","Мама","2.58","0.91"
"AC/DC","Вокруг шум","2.91","0.33"
"Led Zeppelin","А я и не знал","2.28","0.23"
"Led Zeppelin","WTF?","2.82","0.55"
"Deep Purple","Deutschland","7.28","0.08"
"Michael Jackson","New-York","2.9","1.75"
"Muse","Clown","3.66","0.64"
"Skrillex","Nice boobs","2.93","1.23"
"Slipknot","I don't want this","2.8","1.37"
"Stone Sour","Anymore","4.1","0.16"
"Avenged Sevenfold","Rufuss","3.78","0.31"
"Three Days Grace","Mann","5.39","0.19"
"Apocalyptica","Stupid things","3.24","0.43"
"Lumen","You're strange","4.79","0.69"
"Biffy Clyro","Zombie","4.46","0.69"
"Alazka","Plague","3.83","0.7"
"Greenday","No more","4.52","0.67"
"Ozzy Osbourne","Спокойная ночь","3.51","0.73"
"Body Count","Моя игра","2.85","1.1"
"Heaven Shall Burn","Smells like Teen Spirit","3.27","1.02"
"Blind Channel","Highway to Hell","3.27","0.29"
"A War Within","Smoke on the Water","3.68","0.28"
"Mayday Parade","Brick in the Wall","4.41","0.22"
"Silverstein","You are not Alone","3.13","0.49"
"Apocalyptica","Hysteria","2.47","1.1"
"Lumen","Kill Everybody","4.12","0.19"
"Biffy Clyro","Unsainted","4.14","0.56"
"Alazka","Through the Glass","0.78","1.73"
"Greenday","Afterlife","2.71","1.09"
"Mayday Parade","Animal I have become","2.93","0.99"
"Silverstein","Fever","2.77","1.06"
"Apocalyptica","Anastasia","3.23","0.3"
"Lumen","Raining Blood","3.5","0.67"
"Mayday Parade","Bleeding","4.15","0.64"
"Silverstein","Sandpaper","3.27","1"
"Apocalyptica","It's My Life","3.1","1.04"
"Five Finger Death Punch","Headache","0.84","1.42"
"Fozzy","Silence","1.67","0.62"
"Bon Jovi","One","2.79","1.03"
"Motionless in White","Cold","0.79","1.47"
"Falling in Reverse","Solway Firth","3.25","0.47"
"Metallica","Why not?","2.55","1.05"
"Korn","Stop it","3.74","0.14"
"IAMX","I can't take this anymore","2.64","1.14"
"Caligula's Horse","Snow","4.98","0.07"
"Каста","Hello","2.57","0.21"
"Oxxymiron","Here we go again","3.64","0.07"
"Nirvana","Incredible","2.55","0.99"
"AC/DC","Summer","4.34","0.61"
"Led Zeppelin","Cold Reader","3.7","0.57"
"Led Zeppelin","Well","4.01","0.17"
"Deep Purple","Группа крови","2.47","0.12"
"Michael Jackson","Мама","0.07","0"
"Muse","Вокруг шум","3.11","0.33"
"Skrillex","А я и не знал","3.92","0.51"
"Slipknot","WTF?","4.05","0.49"
"Stone Sour","Deutschland","3.54","0.6"
"Avenged Sevenfold","New-York","2.45","0.72"
"Three Days Grace","Clown","4.47","0.19"
"Apocalyptica","Nice boobs","2.63","0.83"
"Lumen","I don't want this","3.18","0.24"
"Biffy Clyro","Anymore","2.41","1.01"
"Alazka","Rufuss","1.88","1.74"
"Greenday","Mann","2.8","0.9"
"Ozzy Osbourne","Stupid things","0.66","0.15"
"Body Count","You're strange","3.66","0.53"
"Heaven Shall Burn","Zombie","1.88","0.45"
"Blind Channel","Plague","2.26","0.23"
"A War Within","No more","3.13","0.58"
"Mayday Parade","Спокойная ночь","2.49","0.96"
"Silverstein","Моя игра","2.97","0.11"
"Apocalyptica","Smells like Teen Spirit","2.54","0.87"
"Lumen","Highway to Hell","2.95","0.04"
"Biffy Clyro","Smoke on the Water","3.28","0.55"
"Alazka","Brick in the Wall","2.7","0.8"
"Greenday","You are not Alone","2.99","0.51"
"Michael Jackson","Hysteria","0.47","0.34"
"Muse","Kill Everybody","3.14","0.2"
"Skrillex","Unsainted","2.62","0.23"
"Slipknot","Through the Glass","3.21","0.2"
"Stone Sour","Afterlife","3.18","0.09"
"Avenged Sevenfold","Animal I have become","2.72","0.84"
"Three Days Grace","Fever","2.07","0.82"
"Bullet for my Valentine","Anastasia","1.97","0.94"
"Slash","Raining Blood","1.74","0.52"
"Slayer","Bleeding","2.18","0.2"
"Five Finger Death Punch","Smells like Teen Spirit","3.02","0.16"
"Fozzy","Highway to Hell","3.13","0.44"
"Bon Jovi","Smoke on the Water","1.62","0.14"
"Motionless in White","Brick in the Wall","1.92","0.17"
"Falling in Reverse","You are not Alone","3.33","0.06"
"Metallica","Hysteria","3.1","0.51"
"Korn","Kill Everybody","1.22","0.52"
"IAMX","Unsainted","2.3","0.28"
"Oxxymiron","Through the Glass","4.26","0.71"
"Nirvana","Afterlife","0.65","0.2"
"AC/DC","Animal I have become","2.43","0.62"
"Led Zeppelin","Fever","2.93","0.2"
"Led Zeppelin","Anastasia","2.32","0.31"
"Deep Purple","Raining Blood","2.49","0.15"
"Michael Jackson","Bleeding","1.08","0.58"
"Muse","Smells like Teen Spirit","1.9","0.49"
"Skrillex","Highway to Hell","2.1","0.11"
"Slipknot","Smoke on the Water","0.96","0.28"
"Stone Sour","Brick in the Wall","1.64","0.58"
"Avenged Sevenfold","You are not Alone","1.98","0.8"
"Alazka","Hysteria","2.71","0.11"
"Greenday","Kill Everybody","3.59","0.38"
"Ozzy Osbourne","Unsainted","3.21","0.38"
"Body Count","Through the Glass","3.22","0.2"
"Heaven Shall Burn","Afterlife","3.81","0.68"
"Blind Channel","Animal I have become","1.96","0.65"
"A War Within","Fever","2.66","0.41"
"Mayday Parade","Anastasia","1.7","1.21"
"Silverstein","Raining Blood","0.6","1.13"
"Apocalyptica","Bleeding","3.4","0.22"
"Captives","Smells like Teen Spirit","2.05","0.73"
"Nightwish","Highway to Hell","3.42","0.2"
"Moonspell","Smoke on the Water","2.59","0.57"
"Machine Head","Brick in the Wall","2.79","0.33"
"Machine Head","You are not Alone","3.36","0.21"
"Viscera","Hysteria","3.06","0.46"
"Phantogram","Kill Everybody","3.49","1.48"
"Ivy Rye","Unsainted","3.39","0.44"
"Boston Manor","Through the Glass","1.85","0.37"
"PVRIS","Afterlife","2.31","0.78"
"Fever 333","Animal I have become","3.98","0.66"
"Asking Alexandria","Fever","2.89","0.46"
"Bush","Anastasia","2.91","0.1"
"He-Nis-Ra","Raining Blood","0","0"
"Nova Twins","Bleeding","2.62","0.1"
"Nirvana","Smells like Teen Spirit","2.74","0.63"
"AC/DC","Highway to Hell","2.56","0.59"
"Led Zeppelin","Smoke on the Water","1.91","0.83"
"Deep Purple","Brick in the Wall","0.57","1.07"
"Michael Jackson","You are not Alone","2.57","0.21"
"Muse","Hysteria","0.28","0.69"
"Skrillex","Kill Everybody","2.99","0.41"
"Slipknot","Unsainted","2.36","0.25"
"Stone Sour","Through the Glass","1.73","0.79"
"Avenged Sevenfold","Silverstein","3.05","0.2"
"Three Days Grace","Apocalyptica","1.87","0.37"
"Bullet for my Valentine","Captives","1.94","0.7"
"Slash","Nightwish","2.08","0.47"
"Slayer","Moonspell","2.29","0.24"
"Five Finger Death Punch","Machine Head","3.06","0.44"
"Fozzy","Machine Head","2.42","0.13"
"Bon Jovi","Viscera","2.6","0.13"
"Motionless in White","Phantogram","1.89","0.48"
"Falling in Reverse","Ivy Rye","1.78","0.3"
"Metallica","Boston Manor","1.55","0.43"
"Korn","PVRIS","1.78","0.82"
"IAMX","Fever 333","3.19","0.42"
"Caligula's Horse","Asking Alexandria","4.18","0.08"
"The Killers","Bush","4.21","0.05"
"Halfives","He-Nis-Ra","3.63","0.61"
"Blueshift","Nova Twins","2.71","0.23"
"Soilwork","Kill Everybody","0.2","0.02"
"Soul Extract","Unsainted","1.96","0.74"
"Infant Annihilator","Through the Glass","1.54","0.77"
"Red","Afterlife","2.71","0.43"
"Ocean Grove","Animal I have become","2.55","0.33"
"Stigmata","Fever","2.67","0.39"
"Кино","Anastasia","2.66","0.46"
"Баста","Raining Blood","0.1","0.86"
"Каста","Bleeding","2.82","0.4"
"Oxxymiron","Smells like Teen Spirit","2.19","0.08"
"Emmure","Highway to Hell","2.03","0.47"
"RAMMSTEIN","Smoke on the Water","1.73","0.75"
"Emograte","Brick in the Wall","3.03","0.13"
"Oomph!","You are not Alone","2.2","0.17"
"Fit for a King","Hysteria","0.92","0.46"
"Code Orange","Kill Everybody","2.75","0.37"
"Aviators","Unsainted","4","0.05"
"Kodaline","Through the Glass","2.51","0.41"
"Led Zeppelin","Silverstein","2.64","0.39"
"Deep Purple","Apocalyptica","2.11","0.3"
"Michael Jackson","Captives","2.23","0.61"
"Muse","Nightwish","1.41","0.72"
"Ocean Grove","Moonspell","3","0.07"
"Stigmata","Machine Head","1.46","1.93"
"Кино","Machine Head","2.45","0.75"
"Баста","Viscera","1.7","0.23"
"Bullet for my Valentine","Phantogram","2.03","0.3"
"Slash","Ivy Rye","0.78","0.84"
"Slayer","Boston Manor","0.88","0.83"
"Five Finger Death Punch","PVRIS","1.3","0.65"
"Fozzy","Fever 334","1.28","0.53"
"Bon Jovi","Asking Alexandria","2.25","0.43"
"Motionless in White","Bush","2.02","0.53"
"Falling in Reverse","He-Nis-Ra","0.84","0.53"
"The Killers","Nova Twins","3.38","0.04"
"Halfives","Kill Everybody","2.04","0.07"
"Blueshift","Unsainted","3.79","0.11"
"Soilwork","Through the Glass","3.36","0.56"
"Soul Extract","Afterlife","1.4","0.77"
"Infant Annihilator","Animal I have become","4.03","0"
"Red","Fever","1.65","0.09"
"Ocean Grove","Anastasia","0.71","0.89"
"Stigmata","Raining Blood","2.14","0.4"
"Кино","Bleeding","1.42","0.07"
"Баста","Smells like Teen Spirit","2.13","0.42"
"Каста","Highway to Hell","2.45","0.37"
"Oxxymiron","Smoke on the Water","2.57","0"
"Motionless in White","Brick in the Wall","2.65","0.33"
"Falling in Reverse","You are not Alone","2.32","1.67"
"The Killers","Hysteria","2.35","0.41"
"Halfives","Kill Everybody","0.12","0.77"
"Каста","Unsainted","2.28","0.06"
"Oxxymiron","Through the Glass","1.68","0.35"
"Motionless in White","Silverstein","1.12","0.69"
"Каста","Apocalyptica","2.78","0.04"
"Oxxymiron","Captives","1.38","0.65"
"Motionless in White","Nightwish","1.22","0.04"
"Каста","Moonspell","2.15","0.59"
"Oxxymiron","Machine Head","0.92","0.37"
"Nirvana","Machine Head","2.67","0.37"
"AC/DC","Viscera","2.08","0.54"
"Led Zeppelin","Phantogram","2.1","0.4"
"Led Zeppelin","Ivy Rye","1.18","0.7"
"Deep Purple","Boston Manor","1.97","0.11"
"Michael Jackson","PVRIS","2.29","0.42"
"Muse","Fever 335","1.33","0.73"
"Skrillex","Asking Alexandria","0.67","0.11"
"Slipknot","Bush","1.53","0.67"
"Stone Sour","He-Nis-Ra","1.15","0.64"
"Avenged Sevenfold","Nova Twins","0.93","0.7"
"Three Days Grace","Kill Everybody","0.1","0"
"Apocalyptica","Unsainted","2.12","0.51"
"Lumen","Through the Glass","2.48","0.69"
"Biffy Clyro","Afterlife","0.16","0.68"
"Alazka","Animal I have become","0.87","0.35"
"Greenday","Fever","2.12","0.06"
"Ozzy Osbourne","Anastasia","2.21","0.13"
"Body Count","Raining Blood","2.26","0.27"
"Heaven Shall Burn","Bleeding","1.06","0.43"
"Blind Channel","Smells like Teen Spirit","1.44","0.27"
"A War Within","Highway to Hell","1.49","0.61"
"Mayday Parade","Smoke on the Water","1.14","0.46"
"Silverstein","Brick in the Wall","2.4","0.36"
"Apocalyptica","You are not Alone","1.82","0.25"
"Lumen","Hysteria","1.4","0.87"
"Biffy Clyro","Kill Everybody","1.98","0.32"
"Alazka","Unsainted","2.03","0.17"
"Greenday","Through the Glass","1.98","0.32"
"Mayday Parade","Silverstein","1.37","0.22"
"Silverstein","Apocalyptica","0.96","0.56"
"Apocalyptica","Captives","1.3","0.11"
"Lumen","Nightwish","1.93","0.19"
"Mayday Parade","Moonspell","0.58","0.59"
"Silverstein","Machine Head","1.49","0.1"
"Apocalyptica","Machine Head","1.3","0.61"
"Five Finger Death Punch","Viscera","1.59","0.41"
"Fozzy","Phantogram","0","0"
"Bon Jovi","Ivy Rye","2.13","0.35"
"Motionless in White","Boston Manor","1.65","0.79"
"Falling in Reverse","PVRIS","1.87","0.1"
"Metallica","Fever 336","2.53","0.24"
"Korn","Asking Alexandria","2.33","0.35"
"IAMX","Bush","0.71","0.74"
"Caligula's Horse","He-Nis-Ra","2.08","0.33"
"Каста","Nova Twins","2.23","0.06"
"Oxxymiron","Kill Everybody","0.6","0.52"
"Nirvana","Unsainted","0.05","2.93"
"AC/DC","Through the Glass","1.78","0.38"
"Led Zeppelin","Afterlife","2.08","0.25"
"Led Zeppelin","Animal I have become","1.28","0.57"
"Deep Purple","Fever","1.93","0.44"
"Michael Jackson","Anastasia","2.05","0.16"
"Muse","Raining Blood","2.02","0.42"
"Skrillex","Bleeding","1.61","0.39"
"Slipknot","Smells like Teen Spirit","2.38","0.1"
"Stone Sour","Highway to Hell","2.18","0.37"
"Avenged Sevenfold","Smoke on the Water","2.01","0.16"
"Three Days Grace","Brick in the Wall","1.57","0.2"
"Apocalyptica","You are not Alone","1.56","0.5"
"Lumen","Hysteria","1.23","0.49"
"Biffy Clyro","Kill Everybody","1.66","0.18"
"Alazka","Unsainted","1.9","0.41"
"Greenday","Through the Glass","1.98","0.41"
"Ozzy Osbourne","Silverstein","2.14","0.29"
"Body Count","Apocalyptica","0.71","0.4"
"Heaven Shall Burn","Captives","1.96","0.23"
"Blind Channel","Nightwish","2.14","0.17"
"A War Within","Moonspell","2.66","0.3"
"Mayday Parade","Machine Head","1.22","0.38"
"Silverstein","Smells like Teen Spirit","2.11","0.34"
"Apocalyptica","Highway to Hell","1.17","0.08"
"Lumen","Smoke on the Water","2.84","0.24"
"Biffy Clyro","Brick in the Wall","1.64","0.06"
"Alazka","You are not Alone","2.2","0.31"
"Greenday","Hysteria","0.59","0.35"
"Michael Jackson","Kill Everybody","0.59","0.51"
"Muse","Unsainted","1.94","0.31"
"Skrillex","Through the Glass","2.09","0.32"
"Slipknot","Afterlife","2.11","0.35"
"Stone Sour","Animal I have become","2.26","0.3"
"Avenged Sevenfold","Fever","0.88","0.72"
"Three Days Grace","Anastasia","0","0"
"Bullet for my Valentine","Raining Blood","2.39","0.29"
"Slash","Bleeding","1.55","0.29"
"Slayer","Sandpaper","1.34","0.38"
"Five Finger Death Punch","It's My Life","1.82","0.47"
"Fozzy","Headache","1.13","0.22"
"Bon Jovi","Silence","0.86","0.02"
"Motionless in White","One","1.75","0.43"
"Falling in Reverse","Cold","1.73","0.4"
"Metallica","Solway Firth","0.46","0.61"
"Korn","Why not?","1.56","0.17"
"IAMX","Stop it","2.03","0.32"
"Oxxymiron","I can't take this anymore","1.08","0.47"
"Nirvana","Snow","1.43","0.27"
"AC/DC","Hello","2.47","0.13"
"Led Zeppelin","Here we go again","1.9","0.06"
"Led Zeppelin","Incredible","0.65","0.28"
"Deep Purple","Summer","1.63","0.18"
"Michael Jackson","Cold Reader","1.9","0.29"
"Muse","Well","0","0.02"
"Skrillex","Группа крови","1.45","0.46"
"Slipknot","Мама","1.44","0.3"
"Stone Sour","Вокруг шум","1.15","0.24"
"Avenged Sevenfold","А я и не знал","1.47","0.43"
"Alazka","WTF?","1.99","0.22"
"Greenday","Deutschland","1.5","0.46"
"Ozzy Osbourne","New-York","0.8","0.5"
"Body Count","Clown","2.13","0.23"
"Heaven Shall Burn","Nice boobs","1.89","0.31"
"Blind Channel","I don't want this","1.36","0.32"
"A War Within","Anymore","0.5","0.87"
"Mayday Parade","Rufuss","0.25","0.04"
"Silverstein","Mann","0.95","0.22"
"Apocalyptica","Stupid things","0.88","0.23"
"Captives","You're strange","1.27","0.51"
"Nightwish","Zombie","2.33","0.59"
"Moonspell","Plague","0.03","0"
"Machine Head","No more","1.72","0.16"
"Machine Head","Спокойная ночь","0.73","0.02"
"Viscera","Моя игра","2.26","0.1"
"Phantogram","Smells like Teen Spirit","1.76","0.16"
"Ivy Rye","Highway to Hell","1.35","0.44"
"Boston Manor","Smoke on the Water","1.48","0.66"
"PVRIS","Brick in the Wall","0","0"
"Fever 334","You are not Alone","2.15","0.26"
"Asking Alexandria","Hysteria","1.78","0.19"
"Bush","Kill Everybody","1.18","0.2"
"He-Nis-Ra","Unsainted","1.52","0.47"
"Nova Twins","Through the Glass","1.86","0.29"
"Nirvana","Afterlife","0.58","0.14"
"AC/DC","Animal I have become","2.06","0.17"
"Led Zeppelin","Fever","1.88","0.3"
"Deep Purple","Anastasia","1.92","0.09"
"Michael Jackson","Raining Blood","1.79","0.29"
"Muse","Bleeding","1.22","0.29"
"Skrillex","Sandpaper","0.88","0.42"
"Slipknot","It's My Life","1.89","0.24"
"Stone Sour","Headache","0.68","2.46"
"Avenged Sevenfold","Silence","1.7","0.16"
"Three Days Grace","One","2.14","0.13"
"Bullet for my Valentine","Cold","2.31","0.04"
"Slash","Solway Firth","0.91","0.17"
"Slayer","Why not?","1.69","0.42"
"Five Finger Death Punch","Stop it","0.08","0.01"
"Fozzy","I can't take this anymore","1.29","0.5"
"Bon Jovi","Snow","1.99","0.27"
"Motionless in White","Hello","0.78","0.3"
"Falling in Reverse","Here we go again","2.17","0.08"
"Metallica","Incredible","2.5","0.42"
"Korn","Summer","1.92","0.07"
"IAMX","Cold Reader","1.89","0.24"
"Caligula's Horse","Well","1.4","0.22"
"The Killers","Группа крови","1.57","0.34"
"Halfives","Мама","1.72","0.14"
"Blueshift","Вокруг шум","1.94","0.24"
"Soilwork","А я и не знал","1.91","0.29"
"Soul Extract","WTF?","1.38","0.28"
"Infant Annihilator","Deutschland","2.06","0.22"
"Red","New-York","1.94","0.27"
"Ocean Grove","Clown","1.54","0.16"
"Stigmata","Nice boobs","1.4","0.47"
"Кино","I don't want this","1.85","0.13"
"Баста","Anymore","2.03","0.07"
"Каста","Rufuss","1.45","0.38"
"Oxxymiron","Mann","2.38","0.31"
"Emmure","Stupid things","2.6","0.19"
"RAMMSTEIN","You're strange","1.15","1.09"
"Emograte","Zombie","1.57","0.41"
"Oomph!","Plague","1.01","0.53"
"Fit for a King","No more","1.61","0.07"
"Code Orange","Спокойная ночь","1.67","0.13"
"Aviators","Моя игра","0.12","0.45"
"Kodaline","Smells like Teen Spirit","1.36","0.13"
"Led Zeppelin","Highway to Hell","0.47","0.12"
"Deep Purple","Smoke on the Water","1.33","0.45"
"Michael Jackson","Brick in the Wall","0.96","0.29"
"Muse","You are not Alone","1.58","0.38"
"Ocean Grove","Hysteria","1.04","0.49"
"Stigmata","Kill Everybody","1.57","0.15"
"Кино","Unsainted","1.36","0.41"
"Баста","Through the Glass","1.82","0.26"
"Bullet for my Valentine","Afterlife","1.98","0.04"
"Slash","Animal I have become","2.22","0.15"
"Slayer","Fever","1.45","0.33"
"Five Finger Death Punch","Anastasia","1.76","0.37"
"Fozzy","Raining Blood","2.07","0.05"
"Bon Jovi","Bleeding","1.83","0.27"
"Motionless in White","Sandpaper","0.87","0.26"
"Falling in Reverse","It's My Life","1.43","0.3"
"The Killers","Headache","1.75","0.09"
"Halfives","Silence","0.61","0.33"
"Blueshift","One","1.84","0.22"
"Soilwork","Cold","1.54","0.22"
"Soul Extract","Solway Firth","1.75","0.28"
"Infant Annihilator","Why not?","0.08","0.45"
"Red","Stop it","0.71","0.61"
"Ocean Grove","I can't take this anymore","0.99","0.2"
"Stigmata","Snow","1.51","0.24"
"Кино","Hello","1.54","0.28"
"Баста","Here we go again","2.03","0.11"
"Каста","Incredible","1.3","0.31"
"Oxxymiron","Summer","0.09","0.22"
"Motionless in White","Cold Reader","1.87","0.22"
"Falling in Reverse","Well","2.53","0.17"
"The Killers","Группа крови","2.09","0.11"
"Halfives","Мама","1.98","0.32"
"Каста","Вокруг шум","1.37","0.07"
"Oxxymiron","А я и не знал","1.29","0.05"
"Motionless in White","WTF?","1.37","0.14"
"Каста","Deutschland","1.4","0.31"
"Oxxymiron","New-York","0.4","0.42"
"Motionless in White","Clown","1.87","0.3"
"Каста","Nice boobs","1.65","0.28"
"Oxxymiron","I don't want this","2.52","0.22"
"Nirvana","Anymore","1.28","0.43"
"AC/DC","Rufuss","1.32","0.39"
"Led Zeppelin","Mann","1.96","0.09"
"Led Zeppelin","Stupid things","1.59","0.14"
"Deep Purple","You're strange","0.02","0"
"Michael Jackson","Zombie","1.05","0.48"
"Muse","Plague","1.32","0.3"
"Skrillex","No more","1.32","0.38"
"Slipknot","Спокойная ночь","1.74","0.26"
"Stone Sour","Моя игра","1.47","0.15"
"Avenged Sevenfold","Smells like Teen Spirit","0.29","0.18"
"Three Days Grace","Highway to Hell","1.45","0.38"
"Apocalyptica","Smoke on the Water","1.96","0.11"
"City of Souls","Brick in the Wall","1.19","0.41"
"Four Year Strong","You are not Alone","0","0.01"
"Spiritbox","Hysteria","1.98","0.11"
"The Animal in Me","Kill Everybody","0.89","0.48"
"Invent","Unsainted","2.19","0.38"
"The Anix","Through the Glass","0.3","0.34"
"August Burns Red","Afterlife","0.46","0.07"
"One Desire","Animal I have become","1.68","0.36"
"Shezzers","Fever","1.27","0.47"
"Nirvana","Anastasia","1.44","0.25"
"AC/DC","Raining Blood","1.2","0.43"
"Led Zeppelin","Bleeding","1.41","0.24"
"Deep Purple","Smells like Teen Spirit","1.24","0.3"
"Michael Jackson","Highway to Hell","1.25","0.3"
"Muse","Smoke on the Water","2.56","0.03"
"Skrillex","Brick in the Wall","1.43","0.07"
"Slipknot","You are not Alone","1.07","0.31"
"Stone Sour","Hysteria","1.02","0.23"
"Avenged Sevenfold","Kill Everybody","1.33","0.05"
"Three Days Grace","Unsainted","1.52","0.24"
"Bullet for my Valentine","Through the Glass","1.49","0.27"
"Slash","Afterlife","1.75","0.1"
"Slayer","Animal I have become","0.99","0.14"
"Five Finger Death Punch","Fever","1.47","0.47"
"Fozzy","Anastasia","1.25","0.05"
"Bon Jovi","Raining Blood","2.42","0.16"
"Motionless in White","Bleeding","1.85","0.19"
"Falling in Reverse","Smells like Teen Spirit","2.38","0.18"
"Metallica","Highway to Hell","1.63","0.18"
"Korn","Smoke on the Water","1.46","0.24"
"IAMX","Brick in the Wall","1.23","0.34"
"Caligula's Horse","You are not Alone","0","0"
"The Killers","Hysteria","0.69","0.53"
"Halfives","Kill Everybody","0.78","0.26"
"Blueshift","Unsainted","1.95","0.09"
"Soilwork","Through the Glass","1.48","0.26"
"Soul Extract","Afterlife","1.78","0.25"
"Infant Annihilator","Animal I have become","1.44","0.14"
"Red","Fever","1.99","0.09"
"Ocean Grove","Anastasia","1.59","0.26"
"Stigmata","Raining Blood","1.15","0.4"
"Кино","Bleeding","1.56","0.22"
"Баста","Smells like Teen Spirit","0.86","0.66"
"Каста","Highway to Hell","0","0"
"Oxxymiron","Smoke on the Water","2","0.03"
"Emmure","Brick in the Wall","1.53","0.24"
"RAMMSTEIN","You are not Alone","2","0.14"
"Emograte","Hysteria","0.76","0.65"
"Oomph!","Kill Everybody","1.53","0.24"
"Fit for a King","Unsainted","1.7","0.41"
"Code Orange","Through the Glass","2.15","0.36"
"Aviators","Afterlife","1.07","0.25"
"Kodaline","Animal I have become","1.55","0.21"
"Led Zeppelin","Fever","0.59","0.23"
"Deep Purple","Anastasia","2.31","0.16"
"Michael Jackson","Raining Blood","0.63","0.19"
"Muse","Bleeding","0.9","0.44"
"Ocean Grove","Smells like Teen Spirit","1.02","0.14"
"Stigmata","Highway to Hell","1.86","0.08"
"Кино","Smoke on the Water","0.48","0.43"
"Баста","Brick in the Wall","0.93","0.45"
"Bullet for my Valentine","You are not Alone","2.03","0.35"
"Slash","Hysteria","0.64","0.69"
"Slayer","Kill Everybody","0.89","0.28"
"Five Finger Death Punch","Unsainted","1.04","0.27"
"Fozzy","Through the Glass","0.37","0.18"
"Bon Jovi","Silverstein","1.4","0.26"
"Motionless in White","Apocalyptica","1.31","0.22"
"Falling in Reverse","Captives","0.28","0.28"
"The Killers","Nightwish","1.76","0.22"
"Halfives","Moonspell","2.14","0.35"
"Blueshift","Machine Head","1.7","0.07"
"Soilwork","Machine Head","0.15","0"
"Soul Extract","Viscera","2.11","0.22"
"Infant Annihilator","Phantogram","1.21","0.07"
